Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
Black or African American	Male	M	60 years	60	2010	2010	309	757918	40.7695819336656	36.22375298789	45.3154108794413	2.31930048253861
Black or African American	Male	M	60 years	60	2011	2011	295	820245	35.9648641564411	31.8607116760062	40.0690166368759	2.09395534716062
Black or African American	Male	M	60 years	60	2012	2012	401	844889	47.4618559361052	42.8163972529857	52.1073146192247	2.37013198118342
Black or African American	Male	M	60 years	60	2013	2013	456	872930	52.2378655791415	47.4431916937254	57.0325394645576	2.44626218643678
Black or African American	Male	M	60 years	60	2014	2014	449	904640	49.6330031835868	45.0420437525626	54.2239626146111	2.34232624031848
Black or African American	Male	M	60 years	60	2015	2015	548	938589	58.3855127217557	53.4970659521877	63.2739594913238	2.49410549467757
Black or African American	Male	M	60 years	60	2016	2016	557	971972	57.3061775442091	52.5470218291137	62.0653332593045	2.42814067096705
Black or African American	Male	M	60 years	60	2017	2017	612	1015295	60.2780472670505	55.5023198028885	65.0537747312125	2.43659564498062
Black or African American	Male	M	60 years	60	2018	2018	626	1048087	59.7278661027186	55.0489430426547	64.4067891627824	2.38720564288972
Black or African American	Male	M	60 years	60	2019	2019	750	1076824	69.6492648752257	64.6645310064127	74.6339987440386	2.54323156572089
Black or African American	Male	M	60 years	60	2020	2020	840	1102596	76.1838424953473	71.031801598676	81.3358833920187	2.62859229422008
Black or African American	Male	M	60 years	60	2021	2021	846	1127301	75.0465048820147	69.9894069886201	80.1036027754092	2.58015198642581
Black or African American	Male	M	60 years	60	2022	2022	794	1145245	69.3301433317762	64.5076912808933	74.152595382659	2.46043471983818
Black or African American	Male	M	65 years	65	1999	1999	263	376469	69.8596697204816	61.4165154392939	78.3028240016694	4.30773177611619
Black or African American	Male	M	65 years	65	2000	2000	238	375235	63.4269191306781	55.3686603605044	71.4851779008518	4.11135651539476
Black or African American	Male	M	65 years	65	2001	2001	261	388334	67.2101850468926	59.056181259959	75.3641888338263	4.16020601374165
Black or African American	Male	M	65 years	65	2002	2002	256	396851	64.5078379542952	56.605627804894	72.4100481036963	4.03173987214345
Black or African American	Male	M	65 years	65	2003	2003	277	406305	68.1753854862726	60.1467121312554	76.2040588412899	4.09626191582512
Black or African American	Male	M	65 years	65	2004	2004	264	415865	63.4821396366609	55.8243106425948	71.139968630727	3.9070556092174
Black or African American	Male	M	65 years	65	2005	2005	271	427014	63.4639613689481	55.9078456067055	71.0200771311907	3.85516110318498
Black or African American	Male	M	65 years	65	2006	2006	279	436847	63.8667542640787	56.3724932405532	71.3610152876043	3.82360256302323
Black or African American	Male	M	65 years	65	2007	2007	283	450394	62.8338743411324	55.5131055189743	70.1546431632906	3.73508613375416
Black or African American	Male	M	65 years	65	2008	2008	325	470048	69.1418748723535	61.6246846067748	76.6590651379321	3.83530115590747
Black or African American	Male	M	65 years	65	2009	2009	348	489532	71.0883047482085	63.619267813318	78.557341683099	3.81073313004617
Black or African American	Male	M	65 years	65	2010	2010	328	503596	65.1315737217929	58.082846221674	72.1803012219118	3.59628954087698
Black or African American	Male	M	65 years	65	2011	2011	308	524064	58.7714477621054	52.2077722570951	65.3351232671157	3.34881403316851
Black or African American	Male	M	65 years	65	2012	2012	355	564112	62.9307655217404	56.3843297757224	69.4772012677583	3.34001823776427
Black or African American	Male	M	65 years	65	2013	2013	419	601865	69.6169406760652	62.9509608631007	76.2829204890298	3.40101010865538
Black or African American	Male	M	65 years	65	2014	2014	465	642116	72.4168218826505	65.8346524678435	78.9989912974574	3.35824970143211
Black or African American	Male	M	65 years	65	2015	2015	516	686820	75.1288547217612	68.646422435125	81.6112870083973	3.30736341154904
Black or African American	Male	M	65 years	65	2016	2016	594	732181	81.1274807731968	74.6032270955871	87.6517344508065	3.32870085592331
Black or African American	Male	M	65 years	65	2017	2017	649	753775	86.0999635169646	79.4757138834268	92.7242131505024	3.37971920078458
Black or African American	Male	M	65 years	65	2018	2018	720	774325	92.9842120556614	86.1921907686314	99.7762333426914	3.46531698317857
Black or African American	Male	M	65 years	65	2019	2019	794	800482	99.1902378816763	92.2907834292173	106.089692334135	3.52012982268318
Black or African American	Male	M	65 years	65	2020	2020	942	827816	113.793403364999	106.526528084425	121.060278645573	3.7075894288641
Black or African American	Male	M	65 years	65	2021	2021	894	860401	103.905039626872	97.0938350559929	110.71624419775	3.4751043728973
Black or African American	Male	M	65 years	65	2022	2022	995	874149	113.8249886461	106.752338976684	120.897638315516	3.60849472929386
Black or African American	Male	M	70 years	70	1999	1999	327	288848	113.208331025314	100.937878404126	125.478783646502	6.26043501081023
Black or African American	Male	M	70 years	70	2000	2000	330	292654	112.761144559787	100.594843000886	124.927446118688	6.20729671372506
Black or African American	Male	M	70 years	70	2001	2001	333	295838	112.561604662011	100.471662302289	124.651547021733	6.16833793863353
Black or African American	Male	M	70 years	70	2002	2002	322	299173	107.630033458902	95.8739784164829	119.386088501321	5.99798726654021
Black or African American	Male	M	70 years	70	2003	2003	303	304832	99.3990132269578	88.2067779748723	110.591248479043	5.71032410820689
Black or African American	Male	M	70 years	70	2004	2004	292	309884	94.2288081991971	83.4207333448501	105.036883053544	5.51432390527909
Black or African American	Male	M	70 years	70	2005	2005	347	316960	109.477536597678	97.9584948952592	120.996578300097	5.87706209307078
Black or African American	Male	M	70 years	70	2006	2006	354	325778	108.662954527316	97.3432276164859	119.982681438146	5.77537087287256
Black or African American	Male	M	70 years	70	2007	2007	338	332403	101.683799484361	90.8432951660285	112.524303802693	5.53086955016959
Black or African American	Male	M	70 years	70	2008	2008	366	339526	107.797340998922	96.7534127340382	118.841269263806	5.63465727800198
Black or African American	Male	M	70 years	70	2009	2009	374	346696	107.875487458753	96.9423944817953	118.808580435712	5.57810866171335
Black or African American	Male	M	70 years	70	2010	2010	354	353284	100.202669806728	89.7642746528106	110.641064960645	5.32571181322301
Black or African American	Male	M	70 years	70	2011	2011	355	368663	96.2939052739222	86.2768355881722	106.310974959672	5.11074983966842
Black or African American	Male	M	70 years	70	2012	2012	382	380768	100.323556601395	90.2628771955741	110.384236007216	5.13299969684744
Black or African American	Male	M	70 years	70	2013	2013	416	400090	103.976605263816	93.9847751789429	113.968435348688	5.09787249228202
