Cause of death Code	Race	Gender	Gender Code	Year	Year Code	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
I132	Black or African American	Female	F	2005	2005	199	3556192	5.59587333867238	4.81837868933553	6.37336798800923	0.39668094353921	6.19308106840134	5.33260994938674	7.05355218741594	0.439015877048266
I132	White	Female	F	2005	2005	817	29460971	2.77316046371995	2.58300008089486	2.96332084654504	0.0970206034821897	2.30124680809529	2.14344635632648	2.4590472598641	0.0805104345759254
I500	Black or African American	Female	F	2005	2005	2772	3556192	77.9485472100494	75.0467471611282	80.8503472589706	1.48051022904142	85.3918849642427	82.2129908753126	88.5707790531727	1.62188473925003
I500	White	Female	F	2005	2005	29100	29460971	98.774748462975	97.6398539160812	99.9096430098687	0.579027830047828	81.4659623844727	80.5299410034388	82.4019837655066	0.477561929098923
I501	Black or African American	Female	F	2005	2005	7	2211323	0.316552579609582	0.127269964632033	0.652218603975991	0.119645628931847	0.210857727362046	0.0847753492859106	0.434447044302212	0.079696729802319
I501	White	Female	F	2005	2005	66	29460971	0.224025202699531	0.173261091767817	0.285016064134478	0.0275755962172325	0.191527274952758	0.148127194448463	0.243670575558647	0.0235753778371436
I509	Black or African American	Female	F	2005	2005	304	3556192	8.54846982390152	7.58750461962237	9.50943502818068	0.49028836953018	9.32984820810144	8.2810453610558	10.3786510551471	0.535103493390635
I509	White	Female	F	2005	2005	1663	29460971	5.64475624377757	5.3734529043999	5.91605958315524	0.138420071111055	4.79373599050406	4.56333515012192	5.02413683088619	0.117551449174559
I110	Black or African American	Male	M	2005	2005	508	2564888	19.8059330465892	18.083590532422	21.5282755607563	0.878746180697531	28.3913654927967	25.9224257206346	30.8603052649587	1.25966314906226
I110	White	Male	M	2005	2005	2282	24365692	9.3656277030835	8.98135888792336	9.74989651824365	0.196055517938849	11.4973246285949	11.0255929462553	11.9690563109345	0.240679429765089
I130	Black or African American	Male	M	2005	2005	2	649446	0.307954779920117	0.0372933238483261	1.11243736969663	0.217756913180325	0.0939245885709679	0.0113742676759442	0.33928754827845	0.0664147134986879
I130	White	Male	M	2005	2005	17	8927430	0.190424343848118	0.110929797265282	0.304888416935221	0.0461846872573368	0.0849281847908129	0.0494740647680402	0.135978516668571	0.020598110381441
I132	Black or African American	Male	M	2005	2005	130	2564888	5.06844743318227	4.19716422970737	5.93973063665716	0.444532246670864	7.23271125319169	5.98938380162667	8.47603870475671	0.634350740594397
I132	White	Male	M	2005	2005	499	24365692	2.04796153542448	1.86827001059018	2.22765306025878	0.0916793494052567	2.56339066927394	2.33847454163174	2.78830679691615	0.114753126348064
I500	Black or African American	Male	M	2005	2005	1684	2564888	65.6558882882995	62.5200135307102	68.7917630458889	1.59993610081089	94.4591405900995	89.9475569024432	98.9707242777558	2.30182841206954
I500	White	Male	M	2005	2005	17853	24365692	73.271056697261	72.1962436648472	74.3458697296749	0.548373996129517	90.2804152696796	88.9560919791815	91.6047385601777	0.675675148213294
I501	Black or African American	Male	M	2005	2005	3	1600181	0.187478791461716	0.038661876375235	0.547891769743548	0.108240930717767	0.116681990126714	0.024062160003931	0.340993781586112	0.0673663784092397
I501	White	Male	M	2005	2005	42	24365692	0.172373516007672	0.124231316721889	0.23299900532273	0.026597810964728	0.201923344558941	0.145528173657074	0.272941804073766	0.0311574485009943
I509	Black or African American	Male	M	2005	2005	227	2564888	8.8502889794798	7.6989569299047	10.0016210290549	0.587414311007707	11.8727036370284	10.3281863626081	13.4172209114486	0.788019017561352
I509	White	Male	M	2005	2005	1239	24365692	5.08501872222632	4.80187106381116	5.36816638064147	0.144463091028139	6.00955924707996	5.67493066027058	6.34418783388933	0.170728870821111
I110	Black or African American	Female	F	2006	2006	860	3681059	23.3628420517031	21.801376100449	24.9243080029571	0.796666301660211	25.6894095536763	23.9724464274816	27.406372679871	0.876001594997296
I110	White	Female	F	2006	2006	5610	29998632	18.7008527588858	18.2114842131507	19.1902213046209	0.249677829456677	15.0641902923225	14.6699868305297	15.4583937541153	0.201124215200415
I130	Black or African American	Female	F	2006	2006	4	1546854	0.258589369132446	0.0704578454075175	0.662092220726714	0.129294684566223	0.121229930373205	0.0330315191287872	0.310397113727554	0.0606149651866026
I130	White	Female	F	2006	2006	25	22844948	0.109433385446971	0.070819815392007	0.161545563596818	0.0218866770893941	0.0752492886946056	0.048697577178714	0.111082999970977	0.0150498577389211
I132	Black or African American	Female	F	2006	2006	195	3681059	5.29738860474662	4.55385500515512	6.04092220433813	0.379353877342606	5.92024624545495	5.08928927216305	6.75120321874684	0.423957639434639
I132	White	Female	F	2006	2006	749	29998632	2.49678051985837	2.31796898552259	2.67559205419415	0.0912303746611113	2.06106475470298	1.91345780718692	2.20867170221903	0.075309667100026
I500	Black or African American	Female	F	2006	2006	2700	3681059	73.348457604184	70.5817378236793	76.1151773846888	1.41159172474732	81.1799168918475	78.1177927629879	84.242041020707	1.56230822900999
I500	White	Female	F	2006	2006	29440	29998632	98.1378084173972	97.0167621842096	99.2588546505847	0.571962363871185	80.9629082715218	80.0380540811809	81.8877624618626	0.47186438282696
I501	Black or African American	Female	F	2006	2006	2	961571	0.207992961518182	0.0251879476398519	0.75134129461059	0.147073233528579	0.0549688756800564	0.00665673084485483	0.198566268374095	0.0388688647475682
I501	White	Female	F	2006	2006	58	29998632	0.193342149735361	0.146812427980049	0.249939197227394	0.0253870680031806	0.171628950580698	0.130324727333947	0.221869893284186	0.0225359852762091
I509	Black or African American	Female	F	2006	2006	258	3681059	7.00885261551092	6.15360249123283	7.864102739789	0.436352104223513	7.59729147082557	6.67023752476014	8.524345416891	0.47298670717624
I509	White	Female	F	2006	2006	1862	29998632	6.20694970357315	5.92501764706892	6.48888176007737	0.143842885971543	5.26460907225931	5.02548000994737	5.50373813457126	0.122004623628544
I110	Black or African American	Male	M	2006	2006	527	2670480	19.7342799796291	18.049388053446	21.4191719058123	0.859638737848551	28.1957807638471	25.7884548613832	30.603106666311	1.22822750125711
I110	White	Male	M	2006	2006	2276	24978045	9.11200216029717	8.73764705818925	9.48635726240509	0.19099750107547	11.0978109936493	10.6418714433051	11.5537505439936	0.232622219563408
I130	Black or African American	Male	M	2006	2006	3	902566	0.332385664871045	0.068544571809707	0.971370514732441	0.191902953088071	0.12335984759603	0.0254392677712532	0.360509285811589	0.0712218412167589
I130	White	Male	M	2006	2006	16	13254690	0.120711989492021	0.0689977660737445	0.196029028215673	0.0301779973730053	0.079302805697469	0.0453286907086163	0.128782998284348	0.0198257014243673
I132	Black or African American	Male	M	2006	2006	143	2670480	5.35484257511758	4.47716548873316	6.232519661502	0.447794431828787	7.19420475369155	6.01504988994015	8.37335961744295	0.601609624362959
I132	White	Male	M	2006	2006	467	24978045	1.86964191953373	1.70006916770888	2.03921467135859	0.08651671011472	2.30290897492016	2.09403977488813	2.51177817495219	0.106565918383688
I500	Black or African American	Male	M	2006	2006	1687	2670480	63.1721638057578	60.1576013716853	66.1867262398302	1.53804205820024	93.6024807143886	89.1357899268891	98.0691715018881	2.27892387117322
I500	White	Male	M	2006	2006	18397	24978045	73.6526817851437	72.5883644597188	74.7169991105686	0.543019043584145	90.1790253606586	88.8758942762907	91.4821564450266	0.664862798146918
I501	Black or African American	Male	M	2006	2006	1	137456	0.727505529042021	0.018420439995344	4.05339890583168	0.727505529042021	0.0607052155951597	0.00153705605886944	0.338227607418616	0.0607052155951597
I501	White	Male	M	2006	2006	47	24978045	0.188165246719669	0.138256296679744	0.250220263435349	0.0274467221129638	0.219031946571521	0.160935913062891	0.291266492231344	0.0319490930244223
I509	Black or African American	Male	M	2006	2006	241	2670480	9.02459482939397	7.88519732764635	10.1639923311416	0.58132525599368	12.5791640476955	10.9909854800179	14.1673426153731	0.810295187590616
I509	White	Male	M	2006	2006	1407	24978045	5.63294685392712	5.33860997773299	5.92728373012125	0.150171875609248	6.64599100169683	6.2987197986515	6.99326220474217	0.177179185227213
I110	Black or African American	Female	F	2007	2007	957	3805978	25.1446540153411	23.55154400448	26.7377640262022	0.812811230031178	27.835978251652	26.0723518526662	29.5996046506377	0.899809387237632
I110	White	Female	F	2007	2007	5615	30560362	18.3734734555828	17.8928859703704	18.8540609407951	0.245197696536896	14.8262300423063	14.4384263628095	15.2140337218031	0.197859020151415
I130	White	Female	F	2007	2007	22	24653843	0.089235580838249	0.0559230461555223	0.135103561744917	0.0190250897591237	0.060311481407716	0.0377966022834015	0.0913121859660961	0.0128584510405931
I132	Black or African American	Female	F	2007	2007	194	3805978	5.09724438764491	4.3799611815076	5.81452759378223	0.365960819457814	5.6760187470534	4.87729052934221	6.47474696476458	0.407514396791422
I132	White	Female	F	2007	2007	766	30560362	2.50651481157193	2.32900925122502	2.68402037191884	0.090564061401485	2.09272859452187	1.94452641350557	2.24093077553816	0.0756133576613748
I500	Black or African American	Female	F	2007	2007	2574	3805978	67.6304487309175	65.0177215157657	70.2431759460694	1.33302408936319	75.5388594630221	72.6206112830371	78.4571076430071	1.48890213264541
I500	White	Female	F	2007	2007	26680	30560362	87.3026307738109	86.2550428349343	88.3502187126874	0.53448364228396	72.2100981781635	71.3436130877826	73.0765832685444	0.442084229786177
I501	Black or African American	Female	F	2007	2007	4	721874	0.554113321715424	0.150979256767802	1.41875174892017	0.277056660857712	0.117769357118211	0.032088616733999	0.301536661965468	0.0588846785591055
I501	White	Female	F	2007	2007	49	26043467	0.188146992871571	0.139193026796317	0.248739731925861	0.0268781418387959	0.129918136504693	0.0961147365675368	0.171758272366029	0.0185597337863847
I509	Black or African American	Female	F	2007	2007	329	3805978	8.64429589451121	7.71020799362095	9.57838379540148	0.476575459637892	9.53836319609441	8.50766390438852	10.5690624878003	0.525866985564228
I509	White	Female	F	2007	2007	2010	30560362	6.57714722096551	6.28960898387224	6.86468545805878	0.146703182190446	5.56702878838442	5.32365068084305	5.81040689592579	0.124172503847637
I110	Black or African American	Male	M	2007	2007	551	2774050	19.8626556839278	18.2041476249643	21.5211637428913	0.846177581103837	28.3207890451579	25.9560369387411	30.6855411515747	1.20650617674327
I110	White	Male	M	2007	2007	2444	25614537	9.54145686880852	9.1631709617887	9.91974277582834	0.193003013785621	11.5604283276665	11.1020971550167	12.0187595003164	0.233842435025431
I130	Black or African American	Male	M	2007	2007	3	1470158	0.204059699705746	0.0420811912733189	0.596348147614066	0.117813922555867	0.125381636381798	0.0258562010546543	0.366417801794893	0.0723891215164667
I130	White	Male	M	2007	2007	15	13197236	0.113660163385727	0.0636144568453576	0.187465390480249	0.0293469279946757	0.0732273450619757	0.0409846127577372	0.12077752157797	0.0189072191941344
I132	Black or African American	Male	M	2007	2007	128	2774050	4.61419224599412	3.81482422241812	5.41356026957013	0.407840828355104	6.43743826678237	5.32220898506403	7.5526675485007	0.568994531488948
I132	White	Male	M	2007	2007	442	25614537	1.72558262521005	1.56471053823229	1.88645471218782	0.0820775953968195	2.12846050609723	1.93002904378233	2.32689196841212	0.101240541997398
I500	Black or African American	Male	M	2007	2007	1752	2774050	63.1567563670446	60.1993647489083	66.1141479851808	1.50887327455932	92.9123319545537	88.5615994668532	97.2630644422543	2.21976147331662
I500	White	Male	M	2007	2007	17407	25614537	67.9575039751841	66.9479453910155	68.9670625593527	0.515080910290117	82.937799423873	81.7056975592871	84.1699012884589	0.628623400298921
I501	Black or African American	Male	M	2007	2007	2	1362739	0.14676324666719	0.0177730291713967	0.530158746465758	0.103777286947324	0.0606252708869283	0.00734172030440702	0.218999091035687	0.0428685401554184
I501	White	Male	M	2007	2007	37	25614537	0.144449224282289	0.101705254324917	0.199104477273979	0.0237473061890528	0.165621962711237	0.116612767725355	0.228288344742287	0.027228082945253
I509	Black or African American	Male	M	2007	2007	230	2774050	8.29112669202069	7.21959331155956	9.36266007248182	0.546700704316905	10.8880197478188	9.48086761514958	12.2951718804881	0.717934761565946
I509	White	Male	M	2007	2007	1454	25614537	5.6764641109851	5.38468663406816	5.96824158790204	0.148866059651499	6.73979614997397	6.39336205347924	7.0862302464687	0.176752090048333
I110	Black or African American	Female	F	2008	2008	963	3938587	24.45039299627	22.9061033069779	25.994682685562	0.787902902700024	27.2576592477032	25.5360622927224	28.9792562026841	0.87836579335759
I110	White	Female	F	2008	2008	5757	31164893	18.4727090190876	17.9955220825315	18.9498959556437	0.24346272273268	14.941626337458	14.5556543129017	15.3275983620143	0.196924502324648
I130	Black or African American	Female	F	2008	2008	1	480483	0.208123908650254	0.00526969736702443	1.1595914943921	0.208123908650254	0.0311043709538168	0.000787562672550642	0.173302357381124	0.0311043709538168
I130	White	Female	F	2008	2008	34	23986502	0.141746387197266	0.0981636255257228	0.19807640146946	0.0243093048533934	0.0953587659599664	0.0660388061902556	0.133254339552457	0.0163538934430699
I132	Black or African American	Female	F	2008	2008	199	3938587	5.05257342290522	4.35056525296648	5.75458159284396	0.358167433642214	5.61089571838452	4.83131384885171	6.39047758791732	0.397745851802453
I132	White	Female	F	2008	2008	683	31164893	2.19156857044239	2.0272068104522	2.35593033043257	0.0838580408113192	1.80004008454838	1.6650419100265	1.93503825907027	0.0688766196540218
I500	Black or African American	Female	F	2008	2008	2503	3938587	63.5507099373456	61.0610154766017	66.0404043980894	1.2702522758897	71.5948183015594	68.7899838202595	74.3996527828593	1.43103800066319
I500	White	Female	F	2008	2008	26497	31164893	85.0219508213938	83.9982129157448	86.0456887270428	0.522315257984182	70.26182089134	69.4158077303683	71.1078340523116	0.431639367842689
I501	Black or African American	Female	F	2008	2008	8	1147409	0.697223047753678	0.301012106406695	1.37380829329385	0.246505572533089	0.226087536241515	0.0976087720215492	0.445482881410281	0.0799340150090673
I501	White	Female	F	2008	2008	77	31164893	0.247072884222641	0.194984978770824	0.308799102887984	0.0281565683135576	0.210007004077772	0.165733327478096	0.262473053906521	0.0239325192452644
I509	Black or African American	Female	F	2008	2008	297	3938587	7.54077541006457	6.68315747851593	8.39839334161321	0.437560169157469	8.43742957157389	7.47783450299479	9.397024640153	0.489589320703624
I509	White	Female	F	2008	2008	2230	31164893	7.15548742618818	6.85849671746846	7.4524781349079	0.151525871795775	6.12348209679189	5.86932508701184	6.37763910657194	0.129671943765331
I110	Black or African American	Male	M	2008	2008	612	2885973	21.206019598936	19.5259026277355	22.8861365701364	0.857202536326777	29.9567620080191	27.5833385554437	32.3301854605944	1.2109303329466
I110	White	Male	M	2008	2008	2511	26281554	9.5542295558322	9.18052500487482	9.92793410678958	0.190665587223154	11.6395258088749	11.1842568894561	12.0947947282936	0.232280060927935
I130	Black or African American	Male	M	2008	2008	1	661596	0.151149644193738	0.00382710899098544	0.842151403575596	0.151149644193738	0.0275575781517672	0.000697757878802746	0.153540904733512	0.0275575781517672
I130	White	Male	M	2008	2008	15	19367653	0.0774487233946209	0.0433472759967354	0.127740051930918	0.0199971743928261	0.0681874265888623	0.0381638207875203	0.11246493204434	0.0176059178399603
I132	Black or African American	Male	M	2008	2008	116	2885973	4.01944162332773	3.2879778832315	4.75090536342396	0.373195785763381	5.64115954701485	4.61457325781709	6.6677458362126	0.523768514896814
I132	White	Male	M	2008	2008	427	26281554	1.62471366799695	1.4706078738466	1.7788194621473	0.0786254051787494	1.99335996589319	1.80428768403678	2.1824322477496	0.0964654499267398
I500	Black or African American	Male	M	2008	2008	1762	2885973	61.0539322439954	58.2031321811286	63.9047323068621	1.45448982799322	89.7300204926638	85.5402437058186	93.9197972795091	2.13764121777821
I500	White	Male	M	2008	2008	17168	26281554	65.3233823235871	64.3462241194976	66.3005405276766	0.498550104127304	79.8364282503078	78.6421725630633	81.0306839375523	0.609314126145165
I501	Black or African American	Male	M	2008	2008	9	1798692	0.500363597547551	0.228796258614593	0.949845220860492	0.166787865849184	0.412016190061664	0.188398523067596	0.782134453755957	0.137338730020555
I501	White	Male	M	2008	2008	43	26281554	0.16361285181234	0.11840662085659	0.220384875262703	0.0249507259894221	0.188393964646689	0.136340712214808	0.253764786439443	0.0287298102679113
I509	Black or African American	Male	M	2008	2008	253	2885973	8.76654078191307	7.68629129612958	9.84679026769655	0.551147696828309	11.8475536782997	10.3876490149711	13.3074583416284	0.744849318024813
I509	White	Male	M	2008	2008	1630	26281554	6.20206856870031	5.90097683487936	6.50316030252127	0.153618231541303	7.30807638097536	6.95329130176025	7.66286146019046	0.181012795517909
I110	Black or African American	Female	F	2009	2009	951	4083739	23.2874823782813	21.8073916020385	24.767573154524	0.755148355225898	26.1996319659523	24.5344526655945	27.8648112663101	0.849581275692756
I110	White	Female	F	2009	2009	5506	31805735	17.3113433787963	16.8540775597883	17.7686091978043	0.233298887248971	14.0759988255915	13.7041921442439	14.4478055069392	0.189697286401852
I130	Black or African American	Female	F	2009	2009	4	916391	0.43649490228516	0.118931766025638	1.11760154781092	0.21824745114258	0.11731759724163	0.031965525720427	0.30037997597747	0.0586587986208152
I130	White	Female	F	2009	2009	26	18101769	0.143632370957778	0.0938249736807491	0.210454458898465	0.0281686254729733	0.0672633323177927	0.0439384265699517	0.0985562524119994	0.0131914247706808
I132	Black or African American	Female	F	2009	2009	164	4083739	4.01592756050276	3.40128869619883	4.6305664248067	0.313591257297925	4.52046718903429	3.82860838995691	5.21232598811168	0.352989183202749
I132	White	Female	F	2009	2009	666	31805735	2.09396198515771	1.93492880271369	2.25299516760173	0.081139378797968	1.7339791735733	1.60228613032818	1.86567221681842	0.0671903281862851
I500	Black or African American	Female	F	2009	2009	2405	4083739	58.8921084329826	56.5383838999438	61.2458329660215	1.20087986379533	66.5948090529708	63.9332328246483	69.2563852812932	1.35794705526656
