Race	Gender	Gender Code	Single-Year Ages	Single-Year Ages Code	Year	Year Code	Deaths	Population	Crude Rate
Black	Female	F	72 years	72	2019	2019	173	158353	109.249587945918
Black	Female	F	72 years	72	2020	2020	248	164656	150.617044019046
Black	Female	F	72 years	72	2021	2021	209	166322	125.659864599993
Black	Female	F	73 years	73	2019	2019	175	126259	138.603980706326
Black	Female	F	73 years	73	2020	2020	247	154613	159.753707644247
Black	Female	F	73 years	73	2021	2021	230	155562	147.851017600699
Black	Female	F	74 years	74	2019	2019	164	124569	131.653942794756
Black	Female	F	74 years	74	2020	2020	212	122911	172.482528008071
Black	Female	F	74 years	74	2021	2021	196	147299	133.062682027712
Black	Female	F	75 years	75	2019	2019	179	115227	155.3455353346
Black	Female	F	75 years	75	2020	2020	207	121057	170.993829353115
Black	Female	F	75 years	75	2021	2021	174	114137	152.448373445947
Black	Female	F	76 years	76	2019	2019	179	112348	159.326378751736
Black	Female	F	76 years	76	2020	2020	203	111679	181.77096857959
Black	Female	F	76 years	76	2021	2021	175	110156	158.865608773013
Black	Female	F	77 years	77	2019	2019	206	99578	206.873004077206
Black	Female	F	77 years	77	2020	2020	218	108558	200.814311243759
Black	Female	F	77 years	77	2021	2021	196	102292	191.608336917843
Black	Female	F	78 years	78	2019	2019	177	92920	190.486439948343
Black	Female	F	78 years	78	2020	2020	229	95927	238.723195763445
Black	Female	F	78 years	78	2021	2021	219	99093	221.00451091399
Black	Female	F	79 years	79	2019	2019	183	88141	207.62187858091
Black	Female	F	79 years	79	2020	2020	251	89232	281.289223596916
Black	Female	F	79 years	79	2021	2021	175	86857	201.480594540452
Black	Female	F	80 years	80	2019	2019	205	77967	262.931753177626
Black	Female	F	80 years	80	2020	2020	232	84346	275.057501244872
Black	Female	F	80 years	80	2021	2021	209	80120	260.858711932102
Black	Female	F	81 years	81	2019	2019	172	73850	232.904536222072
Black	Female	F	81 years	81	2020	2020	243	74259	327.233062659072
Black	Female	F	81 years	81	2021	2021	190	74443	255.228832798248
Black	Female	F	82 years	82	2019	2019	207	67186	308.099901765249
Black	Female	F	82 years	82	2020	2020	247	70048	352.615349474646
Black	Female	F	82 years	82	2021	2021	200	65866	303.646798044515
Black	Female	F	83 years	83	2019	2019	216	63905	338.001721305062
Black	Female	F	83 years	83	2020	2020	252	63392	397.526501766784
Black	Female	F	83 years	83	2021	2021	215	61627	348.873058886527
Black	Female	F	84 years	84	2019	2019	209	58962	354.465588005834
Black	Female	F	84 years	84	2020	2020	246	59882	410.807922247086
Black	Female	F	84 years	84	2021	2021	207	54988	376.445769986179
Black	Female	F	85 years	85	2019	2019	2690	360819	745.526150230448
Black	Female	F	85 years	85	2020	2020	3268	369171	885.226629393967
Black	Female	F	85 years	85	2021	2021	2737	333725	820.136339800734
Black	Male	M	20 years	20	2019	2019	3	328068	0.914444566370387
Black	Male	M	20 years	20	2020	2020	2	336085	0.595087552256126
Black	Male	M	21 years	21	2019	2019	2	329996	0.606067952338816
Black	Male	M	21 years	21	2020	2020	4	328369	1.21814178561314
Black	Male	M	21 years	21	2021	2021	3	310503	0.966174239862417
Black	Male	M	22 years	22	2019	2019	4	328321	1.21831987597504
Black	Male	M	22 years	22	2020	2020	7	330312	2.11920850589745
Black	Male	M	22 years	22	2021	2021	5	302962	1.65037199384741
Black	Male	M	23 years	23	2019	2019	3	328591	0.912989095866898
Black	Male	M	23 years	23	2020	2020	4	328580	1.21735954714225
Black	Male	M	23 years	23	2021	2021	3	304173	0.986280833604561
Black	Male	M	24 years	24	2019	2019	6	345364	1.73729746007111
Black	Male	M	24 years	24	2020	2020	1	329039	0.303915341342516
Black	Male	M	24 years	24	2021	2021	6	302782	1.9816237424946
Black	Male	M	25 years	25	2019	2019	8	360372	2.21992829631603
Black	Male	M	25 years	25	2020	2020	7	345949	2.02341963699852
Black	Male	M	25 years	25	2021	2021	7	302490	2.31412608681279
Black	Male	M	26 years	26	2019	2019	14	370622	3.77743361160428
Black	Male	M	26 years	26	2020	2020	8	360985	2.21615856614541
Black	Male	M	26 years	26	2021	2021	11	317436	3.46526543933265
Black	Male	M	27 years	27	2019	2019	9	375310	2.39801763875196
Black	Male	M	27 years	27	2020	2020	13	371676	3.49767001366782
Black	Male	M	27 years	27	2021	2021	10	333275	3.00052509189108
Black	Male	M	28 years	28	2019	2019	11	374718	2.9355408600601
Black	Male	M	28 years	28	2020	2020	18	376345	4.78284552737515
Black	Male	M	28 years	28	2021	2021	13	344145	3.7774775167444
Black	Male	M	29 years	29	2019	2019	22	364852	6.02984223740037
Black	Male	M	29 years	29	2020	2020	26	375624	6.92181543245373
Black	Male	M	29 years	29	2021	2021	19	348640	5.44974759063791
Black	Male	M	30 years	30	2019	2019	20	338666	5.90552343606976
Black	Male	M	30 years	30	2020	2020	32	365843	8.74692149364618
Black	Male	M	30 years	30	2021	2021	18	349606	5.14865305515352
Black	Male	M	31 years	31	2019	2019	27	315842	8.54857808651161
Black	Male	M	31 years	31	2020	2020	34	339420	10.017087973602
Black	Male	M	31 years	31	2021	2021	25	344182	7.26359890987908
Black	Male	M	32 years	32	2019	2019	19	301267	6.30669804525554
Black	Male	M	32 years	32	2020	2020	20	316526	6.31859626065473
Black	Male	M	32 years	32	2021	2021	19	324498	5.85519787487134
Black	Male	M	33 years	33	2019	2019	24	293061	8.18942131501633
Black	Male	M	33 years	33	2020	2020	30	301835	9.93920519489125
Black	Male	M	33 years	33	2021	2021	26	305166	8.51995307471999
Black	Male	M	34 years	34	2019	2019	40	289742	13.8053854808761
Black	Male	M	34 years	34	2020	2020	46	293621	15.6664543748574
Black	Male	M	34 years	34	2021	2021	23	294189	7.8181033281326
Black	Male	M	35 years	35	2019	2019	42	274208	15.3168397712685
Black	Male	M	35 years	35	2020	2020	44	290207	15.1615915536152
Black	Male	M	35 years	35	2021	2021	42	287138	14.6271130954454
Black	Male	M	36 years	36	2019	2019	50	275921	18.1211288738443
Black	Male	M	36 years	36	2020	2020	49	274422	17.8557112767927
Black	Male	M	36 years	36	2021	2021	41	283200	14.4774011299435
Black	Male	M	37 years	37	2019	2019	44	273251	16.1024113360976
Black	Male	M	37 years	37	2020	2020	56	275932	20.2948552541931
Black	Male	M	37 years	37	2021	2021	39	271715	14.3532745707819
Black	Male	M	38 years	38	2019	2019	55	270002	20.3702194798557
Black	Male	M	38 years	38	2020	2020	63	273270	23.0541222966297
Black	Male	M	38 years	38	2021	2021	54	274288	19.6873359388672
Black	Male	M	39 years	39	2019	2019	56	280694	19.9505511339751
Black	Male	M	39 years	39	2020	2020	65	270018	24.0724692427912
Black	Male	M	39 years	39	2021	2021	52	272721	19.0671052100865
Black	Male	M	40 years	40	2019	2019	67	259062	25.8625348372204
Black	Male	M	40 years	40	2020	2020	68	280552	24.2379309361544
Black	Male	M	40 years	40	2021	2021	72	269355	26.7305229158545
Black	Male	M	41 years	41	2019	2019	76	248860	30.5392590211364
Black	Male	M	41 years	41	2020	2020	85	258682	32.8588769222443
Black	Male	M	41 years	41	2021	2021	83	273099	30.3919091611467
Black	Male	M	42 years	42	2019	2019	85	243991	34.8373505580124
Black	Male	M	42 years	42	2020	2020	84	248536	33.7979206231693
Black	Male	M	42 years	42	2021	2021	85	258454	32.8878639912712
Black	Male	M	43 years	43	2019	2019	97	234566	41.3529667556253
Black	Male	M	43 years	43	2020	2020	101	243670	41.4495013748102
Black	Male	M	43 years	43	2021	2021	87	248104	35.0659400896398
Black	Male	M	44 years	44	2019	2019	82	241549	33.9475634343342
Black	Male	M	44 years	44	2020	2020	102	234065	43.5776386901074
Black	Male	M	44 years	44	2021	2021	90	243442	36.9697915725306
Black	Male	M	45 years	45	2019	2019	83	231645	35.8306892011483
Black	Male	M	45 years	45	2020	2020	102	240660	42.3834455248068
Black	Male	M	45 years	45	2021	2021	92	233077	39.4719341676785
Black	Male	M	46 years	46	2019	2019	96	237881	40.3563126100866
Black	Male	M	46 years	46	2020	2020	114	230640	49.4276795005203
Black	Male	M	46 years	46	2021	2021	112	235138	47.631603568968
Black	Male	M	47 years	47	2019	2019	115	246546	46.6444395771986
Black	Male	M	47 years	47	2020	2020	125	236883	52.7686663880481
Black	Male	M	47 years	47	2021	2021	103	229468	44.8864329666882
Black	Male	M	48 years	48	2019	2019	142	255531	55.5705569969984
Black	Male	M	48 years	48	2020	2020	143	245320	58.2912114788847
Black	Male	M	48 years	48	2021	2021	116	236505	49.0475888459018
Black	Male	M	49 years	49	2019	2019	127	257528	49.315025938927
Black	Male	M	49 years	49	2020	2020	176	254178	69.2428140909127
Black	Male	M	49 years	49	2021	2021	108	246569	43.8011266623136
Black	Male	M	50 years	50	2019	2019	116	237358	48.8713251712603
Black	Male	M	50 years	50	2020	2020	164	255885	64.0912910096332
Black	Male	M	50 years	50	2021	2021	154	257725	59.7536133475604
Black	Male	M	51 years	51	2019	2019	128	237336	53.9319782923787
Black	Male	M	51 years	51	2020	2020	157	235663	66.6205556239206
Black	Male	M	51 years	51	2021	2021	162	251669	64.3702641167565
Black	Male	M	52 years	52	2019	2019	145	235074	61.6827041697508
Black	Male	M	52 years	52	2020	2020	193	235463	81.9661687823565
Black	Male	M	52 years	52	2021	2021	172	236384	72.7629619602004
Black	Male	M	53 years	53	2019	2019	154	243587	63.2217647082972
Black	Male	M	53 years	53	2020	2020	185	232988	79.4032310676945
Black	Male	M	53 years	53	2021	2021	167	236559	70.5954962609751
Black	Male	M	54 years	54	2019	2019	176	255494	68.8861577962692
Black	Male	M	54 years	54	2020	2020	215	240965	89.2245761832631
Black	Male	M	54 years	54	2021	2021	166	235181	70.5839332258983
Black	Male	M	55 years	55	2019	2019	172	251626	68.3554163719171
Black	Male	M	55 years	55	2020	2020	261	252636	103.310692062889
Black	Male	M	55 years	55	2021	2021	220	242776	90.6185125383069
Black	Male	M	56 years	56	2019	2019	194	246985	78.5472801992024
Black	Male	M	56 years	56	2020	2020	276	248479	111.075785076405
Black	Male	M	56 years	56	2021	2021	190	249210	76.2409213113439
Black	Male	M	57 years	57	2019	2019	235	242223	97.018037098046
Black	Male	M	57 years	57	2020	2020	273	243675	112.034472145275
Black	Male	M	57 years	57	2021	2021	215	248104	86.6572082675007
Black	Male	M	58 years	58	2019	2019	223	241182	92.4612947898268
Black	Male	M	58 years	58	2020	2020	253	238831	105.932646934443
Black	Male	M	58 years	58	2021	2021	243	244043	99.5726163012256
Black	Male	M	59 years	59	2019	2019	262	246474	106.299244545064
Black	Male	M	59 years	59	2020	2020	304	237547	127.97467448547
Black	Male	M	59 years	59	2021	2021	271	241141	112.382382091805
Black	Male	M	60 years	60	2019	2019	252	232289	108.485550327394
Black	Male	M	60 years	60	2020	2020	314	242492	129.488807878198
Black	Male	M	60 years	60	2021	2021	299	237436	125.92867130511
Black	Male	M	61 years	61	2019	2019	277	223565	123.901326236218
Black	Male	M	61 years	61	2020	2020	369	228076	161.788175871201
Black	Male	M	61 years	61	2021	2021	284	236216	120.228943001321
Black	Male	M	62 years	62	2019	2019	272	217392	125.119599617281
Black	Male	M	62 years	62	2020	2020	341	219060	155.66511458048
Black	Male	M	62 years	62	2021	2021	335	226332	148.012653977343
Black	Male	M	63 years	63	2019	2019	283	205360	137.806778340475
Black	Male	M	63 years	63	2020	2020	369	212506	173.642155986184
Black	Male	M	63 years	63	2021	2021	322	217318	148.169962911494
Black	Male	M	64 years	64	2019	2019	271	198218	136.718158794862
Black	Male	M	64 years	64	2020	2020	340	200462	169.608205046343
Black	Male	M	64 years	64	2021	2021	339	209999	161.429340139715
Black	Male	M	65 years	65	2019	2019	269	181434	148.263280311298
Black	Male	M	65 years	65	2020	2020	349	193117	180.719460223595
Black	Male	M	65 years	65	2021	2021	321	196662	163.224212099948
Black	Male	M	66 years	66	2019	2019	257	167100	153.800119688809
Black	Male	M	66 years	66	2020	2020	354	176341	200.747415518796
Black	Male	M	66 years	66	2021	2021	333	186801	178.264570318146
Black	Male	M	67 years	67	2019	2019	262	155252	168.757890397547
Black	Male	M	67 years	67	2020	2020	306	161985	188.906380220391
Black	Male	M	67 years	67	2021	2021	277	172307	160.759574480433
Black	Male	M	68 years	68	2019	2019	251	151063	166.155842264486
Black	Male	M	68 years	68	2020	2020	321	150308	213.561487079863
Black	Male	M	68 years	68	2021	2021	309	157823	195.78895344785
Black	Male	M	69 years	69	2019	2019	239	145633	164.111156125329
Black	Male	M	69 years	69	2020	2020	311	146065	212.918905966522
Black	Male	M	69 years	69	2021	2021	321	146808	218.652934444989
Black	Male	M	70 years	70	2019	2019	228	132655	171.8744110663
Black	Male	M	70 years	70	2020	2020	310	140859	220.078234262631
Black	Male	M	70 years	70	2021	2021	281	140514	199.98007315997
Black	Male	M	71 years	71	2019	2019	218	124013	175.788022223477
Black	Male	M	71 years	71	2020	2020	299	128261	233.11840699823
Black	Male	M	71 years	71	2021	2021	260	132577	196.112447860489
Black	Male	M	72 years	72	2019	2019	242	115936	208.735854264422
Black	Male	M	72 years	72	2020	2020	308	119503	257.734115461537
Black	Male	M	72 years	72	2021	2021	261	121703	214.456504769808
Black	Male	M	73 years	73	2019	2019	195	90071	216.495875476013
Black	Male	M	73 years	73	2020	2020	280	111391	251.366807013134
Black	Male	M	73 years	73	2021	2021	264	112782	234.079906368037
Black	Male	M	74 years	74	2019	2019	192	87465	219.516377979763
Black	Male	M	74 years	74	2020	2020	226	86244	262.047214878716
Black	Male	M	74 years	74	2021	2021	215	107386	200.212318179278
Black	Male	M	75 years	75	2019	2019	171	79733	214.465779539212
Black	Male	M	75 years	75	2020	2020	214	83569	256.075817587862
Black	Male	M	75 years	75	2021	2021	181	79580	227.444081427494
Black	Male	M	76 years	76	2019	2019	174	75506	230.445262628136
Black	Male	M	76 years	76	2020	2020	249	75925	327.955218966085
