Cause of death Code	Race	Gender	Gender Code	Year	Year Code	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
I129	White	Male	M	2011	2011	73	42997763	0.169776274175008	0.133077434749338	0.213468198333946	0.0198708098961277	0.0914154947149165	0.0716551213773402	0.1149412722798	0.0106993743729356
I130	Black or African American	Male	M	2011	2011	7	3791353	0.18463065823731	0.0742307561443105	0.380409315618989	0.0697838294420116	0.0852199401276522	0.0342626769283226	0.175585460240212	0.0322101097602259
I130	White	Male	M	2011	2011	40	36417917	0.109836045812285	0.0784679694887547	0.149565940303505	0.017366603697671	0.0507500219918066	0.0362563232111665	0.0691073199466828	0.00802428303988719
I131	Black or African American	Male	M	2011	2011	242	9784788	2.47322680879749	2.16161612898753	2.78483748860746	0.15898504071937	2.37206761868965	2.07320234657396	2.67093289080534	0.15248228169168
I131	White	Male	M	2011	2011	356	62744946	0.567376374823878	0.508437434884936	0.626315314762821	0.0300708877239502	0.438686001527858	0.393115390830275	0.484256612225442	0.0232503115803998
I132	Black or African American	Male	M	2011	2011	173	9978285	1.73376487041611	1.47540609414931	1.9921236466829	0.131815702176936	2.06299529361316	1.75557590324673	2.3704146839796	0.156846627737975
I132	White	Male	M	2011	2011	582	50398463	1.15479712149158	1.0609760752412	1.24861816774197	0.0478678807399933	0.743256648172088	0.682871048774342	0.803642247569834	0.0308089792845643
I159	White	Male	M	2011	2011	1	1955849	0.0511286914276102	0.00129457846694709	0.28487066230573	0.0511286914276102	0.00125828242520578	3.18597110062104e-05	0.00701069669157355	0.00125828242520578
I110	Black or African American	Female	F	2012	2012	1051	14908752	7.04955049222094	6.62334784894407	7.47575313549782	0.217450328202486	7.64148219912026	7.17949247148981	8.1034719267507	0.23570904470941
I110	White	Female	F	2012	2012	5655	73491285	7.69478993325535	7.49423352888375	7.89534633762695	0.102324696107957	4.12196069721392	4.01452623525135	4.22939515917648	0.0548135010013095
I119	Black or African American	Female	F	2012	2012	2618	14908752	17.560155269871	16.8874890759813	18.2328214637607	0.343197037698824	18.1229888661165	17.4287625477768	18.8172151844561	0.354197101193719
I119	White	Female	F	2012	2012	6767	79872491	8.47225360731519	8.27039051097863	8.67411670365175	0.102991375681917	5.82149727279255	5.68279209241574	5.96020245316936	0.0707679491718415
I120	Black or African American	Female	F	2012	2012	1157	14908752	7.7605422640339	7.31336320237506	8.20772132569275	0.228152582479002	8.47860546687195	7.99005006599194	8.96716086775196	0.249262959632658
I120	White	Female	F	2012	2012	3676	67296419	5.46240060708134	5.28581639669832	5.63898481746435	0.0900939848892947	2.82792379354988	2.73650488709693	2.91934270000284	0.0466422992106933
I129	Black or African American	Female	F	2012	2012	25	5465619	0.457404733114401	0.296009473034985	0.675220867023479	0.0914809466228802	0.190558406487723	0.12331987275853	0.281302319657177	0.0381116812975447
I129	White	Female	F	2012	2012	95	49027459	0.193768965264955	0.156770719037264	0.236872871588144	0.0198802763667784	0.0757557303844246	0.0612909312248226	0.0926075926084399	0.00777237394208192
I130	Black or African American	Female	F	2012	2012	7	3329190	0.210261354864096	0.0845355777231098	0.433218290334886	0.0794713221854142	0.0524706122431947	0.0210958096523764	0.108109400053633	0.0198320273049706
I130	White	Female	F	2012	2012	52	31769655	0.163678201730551	0.122243064962462	0.214642683403392	0.0226980826544323	0.0422977587071421	0.0315900810904291	0.0554680118357849	0.00586564376368478
I131	Black or African American	Female	F	2012	2012	207	14908752	1.38844619589889	1.19929897984031	1.57759341195748	0.096503681662544	1.48068597976275	1.27897299170722	1.68239896781829	0.102914789824252
I131	White	Female	F	2012	2012	345	60751750	0.56788487574432	0.507960043591875	0.627809707896765	0.0305738939553292	0.280531969807968	0.250929436051274	0.310134503564662	0.0151033335493338
I132	Black or African American	Female	F	2012	2012	249	11694518	2.12920275978882	1.8647345848491	2.39367093472853	0.134932742316182	1.82485906793949	1.59819340869151	2.05152472718747	0.115645744514275
I132	White	Female	F	2012	2012	1036	61766994	1.67727119762377	1.57513504768814	1.77940734755939	0.0521102805794016	0.763439871206291	0.716950782701802	0.80992895971078	0.023718922706372
I150	White	Female	F	2012	2012	1	3285736	0.0304345814758094	0.000770603602967493	0.169570531533879	0.0304345814758094	0.00064210464590941	1.62580896344263e-05	0.00357757592933471	0.000642104645909411
I159	Black or African American	Female	F	2012	2012	1	1040236	0.0961320315774497	0.00243406303954103	0.535613072418182	0.0961320315774497	0.00516922914752362	0.000130884882015298	0.0288010838875085	0.00516922914752362
I159	White	Female	F	2012	2012	3	13769431	0.0217873926671334	0.00449299611581626	0.0636719120782841	0.0125789570213096	0.00315452529871168	0.000650526207100322	0.00921884782346099	0.00182126603037667
I110	Black or African American	Male	M	2012	2012	781	11168381	6.99295627539927	6.50251008305564	7.48340246774291	0.250227649154915	8.64621126839036	8.03981517097753	9.25260736580319	0.309385763986138
I110	White	Male	M	2012	2012	2968	75547481	3.92865514602664	3.7873141877232	4.06999610433008	0.072112733828286	3.65024561537911	3.51892097777573	3.78157025298249	0.0670023661241751
I119	Black or African American	Male	M	2012	2012	3462	12905747	26.8252585456696	25.9316723397917	27.7188447515476	0.45591132952957	31.2344283792916	30.1939666703876	32.2748900881955	0.530847810665286
I119	White	Male	M	2012	2012	8494	75547481	11.2432603808458	11.004153424322	11.4823673373696	0.12199334516521	9.73913031079713	9.53201122532521	9.94624939626906	0.105673002791799
I120	Black or African American	Male	M	2012	2012	966	12905747	7.48503747981423	7.01301629847349	7.95705866115496	0.24082713333711	10.7563922449905	10.0780729996778	11.4347114903032	0.346081247608513
